abeda,arab bank for economic development in africa 
acf,auto correlation function 
acs,automated clearing systm 
ad,authorized dealer 
adb,asian development bank 
adf,automated data flow
adr,american depository receipt 
aeps,aadhaar enabled payments switch
afs,annual financial statement 
agm,annual general meeting 
aic,agricultural insurance company 
aif,alternative investment fund
alco,asset liability committee
alm,asset liability management
amfl,association of mutual funds in india 
aml,anti-money laundering
amrms,audit and risk monitoring mechanism
anbc,adjusted net bank credit
apbs,aadhaar payment bridge system
arc,asset reconstruction companies
asba,applications supported bank accounts
assocham,associated chambers of commerce and industry of india 
atm,automated teller machine 
bcbs,basel committee on banking supervision
bcsbi,banking codes and standards board of india
bis,bank for international settlements 
bob,bank of baroda 
boe,bill of exchange
boi,bank of india 
bop,balance of payments 
bor,bank of rajasthan 
bot,build operate and transfer 
br,act banking regulations act 1949 
bscs,basel committee on banking supervision 
bse,bombay stock exchange 
bsr,basic statistical returns 
ca,chartered accountant 
cad,current account deficit
cag,controller and auditor general 
car,capital adequacy ratio
care,credit analysis and research limited
casa,current and savings accounts
cb,canara bank 
cblo,collateralized bank lending obligations
cbs,core banking solution 
ccil,clearing corporation of india limited
ccl,cash credit limit
cdb,caribbean development bank 
cdbs,committee of direction on banking statistics 
cdrs,corporate debt restructuring
cds,credit default swap 
cepa,comprehensive economic partnership management 
cfra,combined finance and revenue accounts 
cgra,currency and gold revaluation account 
cibil,credit information bureau of india limited
cmis,currency management information
cob,corporation bank 
cp,colombo plan 
cpff,commercial paper funding facility
cpi,consumer price index 
crar,capital to risk weighted asset ratio 
crilc,central repository of information on large credits
crisil,credit rating information services of india
crmd,credit risk management department 
crr,cash reserve ratio 
csr,corporate social responsibility
cti,country threat index 
cub,city union bank
db,dena bank 
dpg,deferred payment guarantee
dpn,demand promissory note
drat,debt recovery appellate tribunal
dri,differential rate of interest
dscr,debt service coverage ratio
dtaa,double taxation avoidance agreement 
eadb,east african development bank 
ebrd,european bank for reconstruction and development 
ecb,external commercial borrowings 
ecs,electronic clearing system 
edf,export development fund
