aee,     ακαθάριστο εθνικό εισόδημα
αε,     ανώνυμη εταιρεία
αεδικ,     ανώνυμη εταιρεία διώρυγας κορίνθου
αει,     ανώτατα εκπαιδευτικά ιδρύματα
αεμυ,    ανώνυμη εταιρεία μονάδων υγείας
αεπ,     ακαθάριστο εγχώριο προϊόν
αμεα,     άτομα με ειδικές ανάγκες
ανυ,     ανάληψη νέων υποχρεώσεων
απε,    ανανεώσιμες πηγές ενέργειας
ασεπ,     ανώτατο συμβούλιο επιλογής προσωπικού
αστε,    ανώτερες σχολές τουριστικής εκπαίδευσης
ατε,     αγροτική τράπεζα της ελλάδος
αφμ,     αριθμός φορολογικού μητρώου
αχε,     ανώνυμος χρηματιστηριακή εταιρεία
βιπε,     βιομηχανική περιοχή
γγα,     γενική γραμματεία αθλητισμού
γγετ,     γενική γραμματεία έρευνας τεχνολογίας
γγοα,     γενική γραμματεία ολυμπιακών αγώνων
γγπς,     γενική γραμματεία πληροφοριακών συστημάτων
γδδε,    γενική διεύθυνση δημοσιονομικού ελέγχου
γδτκ,     γενικός δείκτης τιμών καταναλωτή
γκ,     γενική κυβέρνηση
γκπ,     γενικός κρατικός προϋπολογισμός
γλκ,     γενικό λογιστήριο του κράτους
γχκ,     γενικό χημείο του κράτους
δαα,     διεθνής αερολιμένας αθηνών
δεα,     διυπουργική επιτροπή αποκρατικοποιήσεων
δεη,     δημόσια επιχείρηση ηλεκτρισμού
δεθ,     διεθνής έκθεση θεσσαλονίκης
δεκα,     δημόσια επιχείρηση κινητών αξιών
δεκο,     δημόσιες επιχειρήσεις και οργανισμοί
δεπ,     δημόσια επιχείρηση πετρελαίου
δεπα,     δημόσια επιχείρηση αερίου
δεπανομ,     δημόσια επιχείρηση ανέγερσης νοσηλευτικών μονάδων
δεπος,"     δημόσια επιχείρηση πολεοδόμησης, οικισμού, στέγασης"
δεσμηε,    διαχειριστής ελληνικού συστήματος μεταφοράς ηλεκτρικής ενέργειας
δεσφα,    διαχειριστής εθνικού συστήματος φυσικού αερίου
δευα,     δημοτική επιχείρηση ύδρευσης αποχέτευσης
δεφα,     δημόσια επιχείρηση φυσικού αερίου
δντ,     διεθνές νομισματικό ταμείο
δου,     δημόσια οικονομική υπηρεσία
δτκ,     δείκτης τιμών καταναλωτή
δτχ,     δείκτης τιμών χονδρικής
δυπε,     διεύθυνση υγειονομικής περιφέρειας
δχ,     δημόσιας χρήσης
εαβ,     ελληνική αεροπορική βιομηχανία
εαντ,     εταιρεία ανάπτυξης ναυτικής τεχνολογίας
εας,     ελληνικά αμυντικά συστήματα
εαχα,    ενοποίηση αρχαιολογικών χώρων αθήνας
εβεταμ,     εταιρεία βιομηχανικής εκμετάλευσης και τεχνολογικής ανάπτυξης μετάλλων
εγλς,     ενιαίο γενικό λογιστικό σχέδιο
εγσσε,     εθνική γενική συλλογική σύμβαση εργασίας
εγταα,    ευρωπαϊκό γεωργικό ταμείο αγροτικής ανάπτυξης
εγτε,    ευρωπαϊκό γεωργικό ταμείο εγγυήσεων
εγτπε,     ευρωπαϊκό γεωργικό ταμείο προσανατολισμού-εγγυήσεων
εδ,     ελληνικό δημόσιο
εδ,     ένοπλες δυνάμεις
εδελ,     επιτροπή δημοσιονομικού ελέγχου
εδετ,     εθνικό δίκτυο έρευνας και τεχνολογίας
εδισυ,     εθνικός διαχειριστής σιδηροδρομικής υποδομής
εδτκ,    εναρμονισμένος δείκτης τιμών καταναλωτή
εε,     ετερόρρυθμη εταιρεία
εε,     ευρωπαϊκή ένωση
εε,     ευρωπαϊκή επιτροπή
εες,     ελληνικός ερυθρός σταυρός
εεταα,     ελληνική εταιρεία τοπικής ανάπτυξης και αυτοδιοίκησης
εεττ,     εθνική επιτροπή τηλεπικοινωνιών και ταχυδρομείων
εζες,    ευρωπαϊκή ζώνη ελευθέρων συναλλαγών
εθεκ,     εθνικά ελεγκτικά κέντρα
εθελ,     εταιρεία θερμικών λεωφορείων
ειαα,     εθνικό ίδρυμα αποκατάστασης αναπήρων
ειν,     εθνικό ίδρυμα νεότητας
ειπκ,     εθνικό ίδρυμα προστασίας κωφαλάλων
ειυαποε,     εθνικό ίδρυμα υποδοχής και αποκατάστασης παλ/ντων ομογενών ελλήνων
εκαβ,     εθνικό κέντρο άμεσης βοήθειας
εκακβ,     εθνικό κέντρο άμεσης κοινωνικής βοήθειας
εκας,     επίδομα κοινωνικής αλληλεγγύης συνταξιούχων
εκαχ,     ευρωπαϊκή κοινότητα άνθρακα – χάλυβα
εκεβυλ,    ερευνητικό κέντρο βιολογικών υλικών αε
εκεπις,     εθνικό κέντρο πιστοποίησης
εκεπυ,     εταιρεία κεραμικών και πυριμάχων
εκεφε,     εθνικό κέντρο έρευνας φυσικών επιστημών
εκκ,    ελληνικό κέντρο κινηματογράφου αε
εκο,    ελληνικά καύσιμα ορυκτέλαια
εκσεδ,    ενιαίο κέντρο συντονισμού έρευνας και διάσωσης
εκτ,    ευρωπαϊκό κοινωνικό ταμείο
εκτ,    ευρωπαϊκή κεντρική τράπεζα
ελας,    ελληνική αστυνομία
ελβιονυ,    ελληνική βιομηχανία νοσοκομειακού υλικού αε
ελβο,    ελληνική βιομηχανία οχημάτων
ελγα,    ελληνικές γεωργικές ασφαλίσεις
ελδα,    ελληνικά διυλιστήρια ασπροπύργου
ελεβμε,    ελληνική εταιρεία βιομηχανικών και μεταλλευτικών επενδύσεων
ελεγεπ,    ειδικός λογαριασμός εγγυήσεων γεωργικών προϊόντων
ελια,    ελληνικό λογοτεχνικό και ιστορικό αρχείο
ελκα,    ελληνικό κέντρο αργυροχρυσοχοΐας αε
ελκε,    ελληνικό κέντρο επενδύσεων
ελκεα,    ελληνικό κέντρο αργυλομάζης αε
ελοτ,    ελληνικός οργανισμός τυποποίησης
ελπε,    ελληνικά πετρέλαια
ελσι,    ελληνικά σιδηροκράματα
ελτα,    ελληνικά ταχυδρομεία
