ABEDA,Arab Bank for Economic Development in Africa 
ACF,Auto Correlation Function 
ACS,Automated Clearing Systm 
AD,Authorized Dealer 
ADB,Asian Development Bank 
ADF,Automated Data Flow
ADR,American Depository Receipt 
AEPS,Aadhaar Enabled Payments Switch
AFS,Annual Financial Statement 
AGM,Annual General Meeting 
AIC,Agricultural Insurance Company 
AIF,Alternative Investment Fund
ALCO,Asset Liability Committee
ALM,Asset Liability Management
AMFL,Association of Mutual Funds in India 
AML,Anti-Money Laundering
AMRMS,Audit and Risk Monitoring Mechanism
ANBC,Adjusted Net Bank Credit
APBS,Aadhaar Payment Bridge System
ARC,Asset Reconstruction Companies
ASBA,Applications Supported Bank Accounts
ASSOCHAM,Associated Chambers of Commerce and Industry of India 
ATM,Automated Teller Machine 
b,billion
BCBS,Basel Committee on Banking Supervision
BCSBI,Banking Codes and Standards Board of India
BIS,Bank for International Settlements 
BOB,Bank of Baroda 
BOE,Bill of Exchange
BOI,Bank of India 
BOP,Balance of Payments 
BOR,Bank of Rajasthan 
BOT,Build,Operate and Transfer 
BR,Act Banking Regulations Act, 1949 
BSCS,Basel Committee on Banking Supervision 
BSE,Bombay Stock Exchange 
BSR,Basic Statistical Returns 
CA,Chartered Accountant 
CAD,Current Account Deficit
CAG,Controller and Auditor General 
CAR,Capital Adequacy Ratio
CARE,Credit Analysis and Research Limited
CASA,Current and Savings Accounts
CB,Canara Bank 
CBLO,Collateralized Bank Lending Obligations
CBS,Core Banking Solution 
CCIL,Clearing Corporation of India Limited
CCL,Cash Credit Limit
CDB,Caribbean Development Bank 
CDBS,Committee of Direction on Banking Statistics 
CDRS,Corporate Debt Restructuring
CDS,Credit Default Swap 
CEPA,Comprehensive Economic Partnership Management 
CFRA,Combined Finance and Revenue Accounts 
CGRA,Currency and Gold Revaluation Account 
CIBIL,Credit Information Bureau of India Limited
CMIS,Currency Management Information
COB,Corporation Bank 
CP,Colombo Plan 
CPFF,Commercial Paper Funding Facility
CPI,Consumer Price Index 
